date,forward_pe
2016-01,17.56
2016-02,17.21
2016-03,18.47
2016-04,18.15
2016-05,18.98
2016-06,18.67
2016-07,19.70
2016-08,19.77
2016-09,20.05
2016-10,19.23
2016-11,19.10
2016-12,19.24
2017-01,18.93
2017-02,19.91
2017-03,20.20
2017-04,20.59
2017-05,21.37
2017-06,20.75
2017-07,21.25
2017-08,21.58
2017-09,21.29
2017-10,21.03
2017-11,21.02
2017-12,21.14
2018-01,20.89
2018-02,20.16
2018-03,19.45
2018-04,19.16
2018-05,20.18
2018-06,20.36
2018-07,20.49
2018-08,21.60
2018-09,21.54
2018-10,18.88
2018-11,18.93
2018-12,17.50
2019-01,18.55
2019-02,19.23
2019-03,20.07
2019-04,21.16
2019-05,19.44
2019-06,21.04
2019-07,21.13
2019-08,20.75
2019-09,21.23
2019-10,21.82
2019-11,22.85
2019-12,23.78
2020-01,22.42
2020-02,21.45
2020-03,21.93
2020-04,26.73
2020-05,28.77
2020-06,30.22
2020-07,30.69
2020-08,33.92
2020-09,31.73
2020-10,28.84
2020-11,31.60
2020-12,32.72
2021-01,28.74
2021-02,27.89
2021-03,28.16
2021-04,28.04
2021-05,26.96
2021-06,26.54
2021-07,26.19
2021-08,26.82
2021-09,25.17
2021-10,27.42
2021-11,27.59
2021-12,27.64
2022-01,24.92
2022-02,23.67
2022-03,24.41
2022-04,21.27
2022-05,20.89
2022-06,18.93
2022-07,21.85
2022-08,20.87
2022-09,18.50
2022-10,20.11
2022-11,21.51
2022-12,19.84
2023-01,22.36
2023-02,21.95
2023-03,23.73
2023-04,23.48
2023-05,24.75
2023-06,25.75
2023-07,25.22
2023-08,24.00
2023-09,22.39
2023-10,21.57
2023-11,23.39
2023-12,24.13
2024-01,30.27
2024-02,25.29
2024-03,25.10
2024-04,23.73
2024-05,24.74
2024-06,25.83
2024-07,24.92
2024-08,25.07
2024-09,25.22
2024-10,24.71
2024-11,25.73
2024-12,25.46
2025-01,25.87
2025-02,25.02
2025-03,22.78
2025-04,23.27
2025-05,25.17
2025-06,26.30
2025-07,26.37
2025-08,25.53
2025-09,26.31
2025-10,26.87
2025-11,25.48
2025-12,24.30
2026-01,24.20
2026-02,23.65
2026-03,20.66
2026-04,21.04
